Model,Train RMSE,Test RMSE
Ridge (text+num),6.7219991481549615,10.342406219794807
Ridge (num only),7.20672982248822,7.21270371869113
SVM (text+num),6.955887309977403,7.159709435198019
SVM (num only),8.362773159712503,8.436973511479884
Decision Tree (text+num),2.24520440712625,11.936823798904511
Decision Tree (num only),0.0,13.347999169936243
Random Forest (text+num),2.8803823072737957,7.723993870264953
Linear Regression (text+num),6.720916085986488,10.359008236092144
Linear Regression (num only),6.771547536960794,7.087917921179565
Neural Net (text+num),14.73128574647118,54.3861212996221
Neural Net (num only),7.940412485716254,9.205480275853143
